[0][1] = 0; 2, 1
[0][2] = 0; 2, 4
[0][3] = 0; 2, 2
[0][4] = 1; 2, 2
[0][5] = 0; 2, 4
[0][6] = 0; 2, 3
[0][7] = 0; 2, 4
[0][8] = 0; 2, 3
[0][9] = 0; 2, 2
[0][10] = 0; 2, 4
[0][11] = 0; 2, 0
[0][12] = 0; 2, 1
[0][13] = 0; 2, 2
[0][14] = 0; 2, 1
[0][15] = 0; 2, 4
[0][16] = 0; 2, 0
[0][17] = 0; 2, 2
[0][18] = 0; 2, 1
[0][19] = 0; 2, 1
[0][20] = 0; 2, 2
[0][21] = 0; 2, 4
[0][22] = 0; 2, 2
[0][23] = 0; 2, 1
[0][24] = 0; 2, 2
[0][25] = 0; 2, 2
[0][26] = 0; 2, 1
[0][27] = 0; 2, 1
[0][28] = 0; 2, 3
[0][29] = 0; 2, 0
[0][30] = 0; 2, 3
[0][31] = 0; 2, 2
[0][32] = 0; 2, 1
[0][33] = 0; 2, 1
[0][34] = 0; 2, 3
[0][35] = 0; 2, 2
[0][36] = 0; 2, 4
[0][37] = 0; 2, 2
[0][38] = 0; 2, 4
[0][39] = 0; 2, 4
[0][40] = 0; 2, 3
[0][41] = 0; 2, 1
[0][42] = 0; 2, 2
[0][43] = 0; 2, 3
[0][44] = 0; 2, 3
[0][45] = 0; 2, 4
[0][46] = 0; 2, 1
[0][47] = 0; 2, 1
[0][48] = 0; 2, 3
[0][49] = 0; 2, 3
[0][50] = 0; 2, 2
[0][51] = 0; 2, 4
[0][52] = 0; 2, 2
[0][53] = 0; 2, 2
[0][54] = 1; 2, 2
[0][55] = 0; 2, 4
[0][56] = 0; 2, 3
[0][57] = 0; 2, 1
[0][58] = 0; 2, 4
[0][59] = 0; 2, 3
[0][60] = 0; 2, 1
[0][61] = 0; 2, 0
[0][62] = 0; 2, 0
[0][63] = 0; 2, 2
[0][64] = 0; 2, 3
[0][65] = 0; 2, 1
[0][66] = 0; 2, 0
[0][67] = 0; 2, 2
[0][68] = 0; 2, 4
[0][69] = 0; 2, 3
[0][70] = 0; 2, 1
[0][71] = 0; 2, 0
[0][72] = 0; 2, 0
[0][73] = 0; 2, 4
[0][74] = 0; 2, 0
[0][75] = 0; 2, 0
[0][76] = 0; 2, 1
[0][77] = 0; 2, 1
[0][78] = 0; 2, 3
[0][79] = 0; 2, 3
[0][80] = 0; 2, 4
[0][81] = 0; 2, 3
[0][82] = 0; 2, 4
[0][83] = 0; 2, 4
[0][84] = 0; 2, 1
[0][85] = 0; 2, 0
[0][86] = 0; 2, 1
[0][87] = 0; 2, 1
[0][88] = 0; 2, 1
[0][89] = 0; 2, 3
[0][90] = 0; 2, 4
[0][91] = 0; 2, 4
[0][92] = 0; 2, 3
[0][93] = 0; 2, 2
[0][94] = 0; 2, 3
[0][95] = 0; 2, 3
[0][96] = 0; 2, 2
[0][97] = 0; 2, 4
[0][98] = 0; 2, 3
[0][99] = 0; 2, 0
[0][100] = 0; 2, 4
[0][101] = 0; 2, 3
[0][102] = 0; 2, 4
[0][103] = 0; 2, 0
[0][104] = 0; 2, 2
[1][2] = 0; 1, 4
[1][3] = 0; 1, 2
[1][4] = 0; 1, 2
[1][5] = 0; 1, 4
[1][6] = 0; 1, 3
[1][7] = 0; 1, 4
[1][8] = 0; 1, 3
[1][9] = 0; 1, 2
[1][10] = 0; 1, 4
[1][11] = 0; 1, 0
[1][12] = 0; 1, 1
[1][13] = 0; 1, 2
[1][14] = 0; 1, 1
[1][15] = 0; 1, 4
[1][16] = 0; 1, 0
[1][17] = 0; 1, 2
[1][18] = 0; 1, 1
[1][19] = 0; 1, 1
[1][20] = 0; 1, 2
[1][21] = 0; 1, 4
[1][22] = 0; 1, 2
[1][23] = 0; 1, 1
[1][24] = 0; 1, 2
[1][25] = 0; 1, 2
[1][26] = 0; 1, 1
[1][27] = 0; 1, 1
[1][28] = 0; 1, 3
[1][29] = 0; 1, 0
[1][30] = 0; 1, 3
[1][31] = 0; 1, 2
[1][32] = 0; 1, 1
[1][33] = 0; 1, 1
[1][34] = 0; 1, 3
[1][35] = 0; 1, 2
[1][36] = 0; 1, 4
[1][37] = 0; 1, 2
[1][38] = 0; 1, 4
[1][39] = 0; 1, 4
[1][40] = 0; 1, 3
[1][41] = 0; 1, 1
[1][42] = 0; 1, 2
[1][43] = 0; 1, 3
[1][44] = 0; 1, 3
[1][45] = 0; 1, 4
[1][46] = 0; 1, 1
[1][47] = 1; 1, 1
[1][48] = 0; 1, 3
[1][49] = 0; 1, 3
[1][50] = 0; 1, 2
[1][51] = 0; 1, 4
[1][52] = 0; 1, 2
[1][53] = 0; 1, 2
[1][54] = 0; 1, 2
[1][55] = 0; 1, 4
[1][56] = 0; 1, 3
[1][57] = 0; 1, 1
[1][58] = 0; 1, 4
[1][59] = 0; 1, 3
[1][60] = 0; 1, 1
[1][61] = 0; 1, 0
[1][62] = 0; 1, 0
[1][63] = 0; 1, 2
[1][64] = 0; 1, 3
[1][65] = 0; 1, 1
[1][66] = 0; 1, 0
[1][67] = 0; 1, 2
[1][68] = 0; 1, 4
[1][69] = 0; 1, 3
[1][70] = 0; 1, 1
[1][71] = 0; 1, 0
[1][72] = 0; 1, 0
[1][73] = 0; 1, 4
[1][74] = 0; 1, 0
[1][75] = 0; 1, 0
[1][76] = 0; 1, 1
[1][77] = 0; 1, 1
[1][78] = 0; 1, 3
[1][79] = 0; 1, 3
[1][80] = 0; 1, 4
[1][81] = 0; 1, 3
[1][82] = 0; 1, 4
[1][83] = 0; 1, 4
[1][84] = 0; 1, 1
[1][85] = 0; 1, 0
[1][86] = 0; 1, 1
[1][87] = 0; 1, 1
[1][88] = 0; 1, 1
[1][89] = 0; 1, 3
[1][90] = 0; 1, 4
[1][91] = 0; 1, 4
[1][92] = 0; 1, 3
[1][93] = 0; 1, 2
[1][94] = 0; 1, 3
[1][95] = 0; 1, 3
[1][96] = 0; 1, 2
[1][97] = 0; 1, 4
[1][98] = 0; 1, 3
[1][99] = 0; 1, 0
[1][100] = 0; 1, 4
[1][101] = 0; 1, 3
[1][102] = 0; 1, 4
[1][103] = 0; 1, 0
[1][104] = 0; 1, 2
[2][3] = 0; 4, 2
[2][4] = 0; 4, 2
[2][5] = 1; 4, 4
[2][6] = 0; 4, 3
[2][7] = 0; 4, 4
[2][8] = 0; 4, 3
[2][9] = 0; 4, 2
[2][10] = 0; 4, 4
[2][11] = 0; 4, 0
[2][12] = 0; 4, 1
[2][13] = 0; 4, 2
